|bandpass_frequency|       bandpass_weights|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
               60.0  7.217704427722848e-178 
  61.09448818897638  4.828230666559106e-172 
 62.188976377952756 2.5716735462514064e-166 
  63.28346456692913 1.0906491402234303e-160 
  64.37795275590551 3.6829712037861068e-155 
   65.4724409448819   9.90280959401783e-150 
  66.56692913385827 2.1201586324499737e-144 
  67.66141732283465  3.614358835987393e-139 
  68.75590551181102  4.906259491214788e-134 
  69.85039370078741 5.3030979825764975e-129 
  70.94488188976378  4.564281749437757e-124 
  72.03937007874016 3.1281162474198065e-119 
  73.13385826771653  1.707124474464622e-114 
  74.22834645669292  7.418631917817346e-110 
  75.32283464566929 2.5672224814199063e-105 
  76.41732283464567   7.07439365679154e-101 
  77.51181102362204  1.5524092739703181e-96 
  78.60629921259843   2.712814325374116e-92 
   79.7007874015748    3.77517066235323e-88 
  80.79527559055119   4.183713488006502e-84 
  81.88976377952756    3.69234755529727e-80 
  82.98425196850394  2.5951669262032487e-76 
  84.07874015748031  1.4526374474831801e-72 
   85.1732283464567   6.475687169653109e-69 
  86.26771653543307  2.2991060189752696e-65 
  87.36220472440945  6.5010699140277245e-62 
  88.45669291338584  1.4641040150552274e-58 
  89.55118110236221   2.626208595520055e-55 
  90.64566929133858   3.752027565403707e-52 
  91.74015748031496   4.269647900779057e-49 
  92.83464566929135   3.870058116776228e-46 
  93.92913385826772  2.7941703577859824e-43 
  95.02362204724409  1.6069757033028177e-40 
  96.11811023622047   7.362043406616496e-38 
  97.21259842519686  2.6867810853687807e-35 
  98.30708661417323   7.811311905343325e-33 
   99.4015748031496   1.809203076338723e-30 
 100.49606299212599   3.338391900065443e-28 
 101.59055118110237  4.9078418054438505e-26 
 102.68503937007874   5.748648046368607e-24 
 103.77952755905511   5.365181722279444e-22 
  104.8740157480315  3.9899959620331343e-20 
 105.96850393700788  2.3646201939339174e-18 
 107.06299212598425  1.1168407329671091e-16 
 108.15748031496062   4.204496921299222e-15 
 109.25196850393701  1.2618250661315979e-13 
 110.34645669291339  3.0195416088775422e-12 
 111.44094488188976  5.7632888543283423e-11 
 112.53543307086615   8.777497281321094e-10 
 113.62992125984252   1.067338294410361e-08 
  114.7244094488189  1.0371377432249942e-07 
 115.81889763779529   8.063225933990206e-07 
 116.91338582677166   5.024500916496778e-06 
 118.00787401574803  2.5160053091925224e-05 
 119.10236220472441  0.00010162466842133505 
  120.1968503937008   0.0003329221879787605 
 121.29133858267717   0.0008917581233123266 
 122.38582677165354    0.001976533197287576 
 123.48031496062993    0.003690443175020335 
  124.5748031496063    0.005960489539101779 
 125.66929133858268    0.008637256196169512 
 126.76377952755905    0.011693340612163363 
 127.85826771653544    0.015179919508819304 
 128.95275590551182    0.018796666424896347 
 130.04724409448818    0.021592910727899945 
  131.1417322834646    0.022499621143225564 
 132.23622047244095    0.021365293498170703 
 133.33070866141733    0.019210386097493422 
 134.42519685039372    0.017291533000138772 
 135.51968503937007      0.0161760862089313 
 136.61417322834646     0.01588955438088763 
 137.70866141732284    0.016638118401779506 
  138.8031496062992    0.018937606887788918 
  139.8976377952756    0.022916680894507255 
 140.99212598425197     0.02774913725660338 
 142.08661417322836    0.032055243582184645 
 143.18110236220474     0.03481658146524637 
  144.2755905511811     0.03578160552932597 
 145.37007874015748    0.035299693850738036 
 146.46456692913387    0.034126574996008664 
 147.55905511811022    0.033065700454837366 
 148.65354330708664     0.03228126063451921 
   149.748031496063    0.031146970286171142 
 150.84251968503938    0.029195490899257798 
 151.93700787401576    0.027038273381783225 
 153.03149606299212    0.025927715760244382 
  154.1259842519685    0.026441206227984217 
  155.2204724409449     0.02785805907074623 
 156.31496062992125    0.028804455263573947 
 157.40944881889766     0.02830189295898832 
 158.50393700787401     0.02623163120115323 
  159.5984251968504    0.023097827340252553 
 160.69291338582678     0.01956439839599184 
 161.78740157480314    0.016182985816278153 
 162.88188976377953    0.013376667134614311 
  163.9763779527559    0.011426443179633766 
  165.0708661417323    0.010297103439683843 
 166.16535433070868    0.009555650035577146 
 167.25984251968504    0.008638988781270555 
 168.35433070866142   0.0072592708872467274 
  169.4488188976378    0.005569337386551453 
 170.54330708661416    0.003984311242221054 
 171.63779527559058    0.002828054813536184 
 172.73228346456693   0.0021036613519073333 
 173.82677165354332   0.0015885796991820386 
  174.9212598425197   0.0011072655190793891 
 176.01574803149606   0.0006586047608208269 
 177.11023622047244   0.0003209373479120162 
 178.20472440944883   0.0001259185674043232 
 179.29921259842519   3.950442471383873e-05 
  180.3937007874016   9.883979717564796e-06 
 181.48818897637796   1.970162350416537e-06 
 182.58267716535434   3.127401481753144e-07 
 183.67716535433073   3.952843267326095e-08 
 184.77165354330708   3.977898167145849e-09 
 185.86614173228347  3.1871723060631954e-10 
 186.96062992125985   2.033111437099983e-11 
 188.05511811023624  1.0325687504492606e-12 
  189.1496062992126   4.175209656962538e-14 
 190.24409448818898  1.3441225359320482e-15 
 191.33858267716536   3.445090216949412e-17 
 192.43307086614175   7.030131649064836e-19 
  193.5275590551181  1.1421612508547597e-20 
  194.6220472440945   1.477380918930327e-22 
 195.71653543307087   1.521453367063073e-24 
 196.81102362204726  1.2474579102124297e-26 
 197.90551181102362   8.143184073386875e-29 
              199.0     4.2321757812142e-31 
