|bandpass_frequency|        bandpass_weight|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
              150.0   9.018652966891177e-55 
  151.5708661417323   3.604084826020617e-51 
 153.14173228346456  1.0640536673809871e-47 
 154.71259842519686  2.3210104524609483e-44 
 156.28346456692913    3.74087208608004e-41 
 157.85433070866142  4.4555067505931586e-38 
  159.4251968503937  3.9219988147945146e-35 
 160.99606299212599   2.551970053533842e-32 
 162.56692913385828   1.227694887778174e-29 
 164.13779527559055   4.367796313685832e-27 
 165.70866141732284  1.1495495269497786e-24 
  167.2795275590551  2.2390007896088457e-22 
  168.8503937007874  3.2288494706699764e-20 
 170.42125984251967  3.4495226759654215e-18 
 171.99212598425197    2.73206500544159e-16 
 173.56299212598424  1.6054890838047243e-14 
 175.13385826771653     7.0071184891618e-13 
 176.70472440944883  2.2740185707168035e-11 
  178.2755905511811   5.494899243242651e-10 
  179.8464566929134   9.901826350656864e-09 
 181.41732283464566  1.3330360039380448e-07 
 182.98818897637796  1.3435339908308408e-06 
 184.55905511811022  1.0163132381521465e-05 
 186.12992125984252   5.788506202347385e-05 
 187.70078740157481  0.00024932901370643205 
 189.27165354330708   0.0008175224220272133 
 190.84251968503938   0.0020622297592097667 
 192.41338582677167   0.0040740261036707895 
 193.98425196850394    0.006496443365344457 
  195.5551181102362    0.008769667014292094 
  197.1259842519685    0.010647361449422498 
  198.6968503937008    0.012191634110105308 
 200.26771653543307    0.013276739763551466 
 201.83858267716536    0.013599127454464358 
 203.40944881889766    0.013253798710690512 
 204.98031496062993    0.012703470808003003 
  206.5511811023622    0.012185681962522068 
  208.1220472440945    0.011850767323230453 
 209.69291338582678    0.012274846640129485 
 211.26377952755905    0.013984257740349311 
 212.83464566929135    0.016506290479730776 
 214.40551181102364    0.018566050424411534 
  215.9763779527559    0.019426168777418346 
 217.54724409448818     0.01951270989670668 
 219.11811023622047     0.01940649442974865 
 220.68897637795277     0.01885786162034499 
 222.25984251968504     0.01743950886223901 
 223.83070866141733     0.01569034201959203 
 225.40157480314963    0.014751601604999888 
  226.9724409448819    0.015057524355176353 
 228.54330708661416    0.016054973401943753 
 230.11417322834646    0.016941145756920326 
 231.68503937007875    0.017186299776171234 
 233.25590551181102     0.01671735698298788 
 234.82677165354332    0.016003141525660812 
  236.3976377952756    0.015758480602297703 
 237.96850393700788     0.01636980578951978 
 239.53937007874015     0.01765279582328599 
 241.11023622047244     0.01906012590955551 
 242.68110236220474    0.019920696389882756 
   244.251968503937    0.019714308227227258 
  245.8228346456693    0.018576611232606035 
  247.3937007874016    0.017378326931742093 
 248.96456692913387     0.01684364339037538 
 250.53543307086613    0.016660587487547333 
 252.10629921259843    0.015770527576917128 
 253.67716535433073      0.0134969785917513 
   255.248031496063     0.01014443753923145 
  256.8188976377953    0.006585737887172016 
  258.3897637795276    0.003614886691783286 
 259.96062992125985   0.0016294061952801437 
  261.5314960629921   0.0005853360830202594 
  263.1023622047244   0.0001635485588750236 
  264.6732283464567   3.493715888382715e-05 
   266.244094488189   5.641671025998068e-06 
  267.8149606299213   6.836420721890062e-07 
 269.38582677165357   6.187000030414123e-08 
 270.95669291338584  4.1685414059230816e-09 
  272.5275590551181  2.0864208084835602e-10 
 274.09842519685037   7.746038480284215e-12 
  275.6692913385827  2.1308558349436996e-13 
 277.24015748031496  4.3400280930081735e-15 
  278.8110236220473   6.541147145890412e-17 
 280.38188976377955   7.292258867337133e-19 
  281.9527559055118  6.0115661046480046e-21 
  283.5236220472441  3.6638276203591773e-23 
 285.09448818897636   1.650567949973653e-25 
  286.6653543307087   5.495786896097621e-28 
 288.23622047244095  1.3523365623369406e-30 
  289.8070866141733   2.459054410905172e-33 
 291.37795275590554   3.304129468989244e-36 
  292.9488188976378   3.280453598663152e-39 
  294.5196850393701   2.406494456672615e-42 
 296.09055118110234  1.3043645323059135e-45 
 297.66141732283467   5.223569162613464e-49 
 299.23228346456693  1.5455483731641022e-52 
 300.80314960629926  3.3786133729785565e-56 
  302.3740157480315   5.456694214414008e-60 
  303.9448818897638   6.511051930269865e-64 
 305.51574803149606   5.739826562930507e-68 
  307.0866141732283   3.738250774415895e-72 
 308.65748031496065  1.7986902485170253e-76 
  310.2283464566929   6.393799882790054e-81 
 311.79921259842524  1.6790861561187697e-85 
  313.3700787401575   3.257578513080765e-90 
  314.9409448818898   4.668975032982948e-95 
 316.51181102362204  4.943673926829107e-100 
  318.0826771653543 3.8670217569662585e-105 
 319.65354330708664 2.2345955468348648e-110 
  321.2244094488189  9.539240505189376e-116 
  322.7952755905512  3.008280420321854e-121 
  324.3661417322835  7.008250703181968e-127 
 325.93700787401576 1.2061044790251511e-132 
 327.50787401574803 1.5333505950099122e-138 
  329.0787401574803 1.4400465587691773e-144 
  330.6496062992126  9.990505929216552e-151 
  332.2204724409449  5.120020639735436e-157 
  333.7913385826772 1.9383253567052333e-163 
  335.3622047244095   5.42063151679672e-170 
 336.93307086614175 1.1197959688684492e-176 
   338.503937007874  1.708800393912525e-183 
  340.0748031496063 1.9262154622266065e-190 
  341.6456692913386 1.6038997316483597e-197 
  343.2165354330709  9.865206222489001e-205 
  344.7874015748032  4.482182787397879e-212 
 346.35826771653547 1.5042682687421043e-219 
 347.92913385826773 3.7291625198891773e-227 
              349.5  6.828819229512529e-235 
