|bandpass_frequency|      bandpass_weights|
|            double|                double|
|               GHz|                      |
|              null|                  null|
               10.0 2.3808562992618876e-60 
 10.023360075507314  3.462472979162532e-60 
 10.046720151014629  5.032718168747323e-60 
 10.070080226521945  7.311085064256481e-60 
  10.09344030202926 1.0615099557078594e-59 
 10.116800377536574 1.5403851207375185e-59 
 10.140160453043888 2.2340740635264826e-59 
 10.163520528551203  3.238387592377596e-59 
 10.186880604058517  4.691622879815407e-59 
 10.210240679565834 6.7932934111875175e-59 
 10.233600755073148  9.831067057090304e-59 
 10.256960830580462 1.4219487786958556e-58 
 10.280320906087777  2.055560460162814e-58 
 10.303680981595091   2.96988454490136e-58 
 10.327041057102408  4.288563904402986e-58 
 10.350401132609722  6.189380952003062e-58 
 10.373761208117037  8.927822570596573e-58 
 10.397121283624351 1.2870840122790296e-57 
 10.420481359131665 1.8545188381467096e-57 
  10.44384143463898   2.67066005833839e-57 
 10.467201510146296 3.8438725705792207e-57 
  10.49056158565361  5.529455417525284e-57 
 10.513921661160925  7.949846594654121e-57 
  10.53728173666824 1.1423472598697511e-56 
 10.560641812175554 1.6405918462117895e-56 
  10.58400188768287 2.3548647116973804e-56 
 10.607361963190185   3.37827020698773e-56 
 10.630722038697499  4.843795652677386e-56 
 10.654082114204813  6.941290996342756e-56 
 10.677442189712128  9.941632347151212e-56 
 10.700802265219442 1.4231089625223133e-55 
 10.724162340726759 2.0360180209300726e-55 
 10.747522416234073 2.9113075724848767e-55 
 10.770882491741387  4.160615386788179e-55 
 10.794242567248702  5.942785570329841e-55 
 10.817602642756016  8.483704988378621e-55 
 10.840962718263333 1.2104422225005347e-54 
 10.864322793770647 1.7260985155945514e-54 
 10.887682869277961  2.460084939890602e-54 
 10.911042944785276 3.5042705924199114e-54 
  10.93440302029259  4.988938776104705e-54 
 10.957763095799905  7.098747407248593e-54 
 10.981123171307221 1.0095277939554529e-53 
 11.004483246814535  1.434887479266506e-53 
  11.02784332232185  2.038357802783901e-53 
 11.051203397829164 2.8940498184900695e-53 
 11.074563473336479  4.106715278936308e-53 
 11.097923548843795  5.824332950428727e-53 
  11.12128362435111  8.255831143869512e-53 
 11.144643699858424 1.1696028513807132e-52 
 11.168003775365738 1.6560713482290245e-52 
 11.191363850873053 2.3435956167479195e-52 
 11.214723926380369  3.314738855511988e-52 
 11.238084001887684  4.685748444658309e-52 
 11.261444077394998  6.620207908733201e-52 
 11.284804152902312  9.348184952818755e-52 
 11.308164228409627  1.319307320668469e-51 
 11.331524303916941 1.8609198001365153e-51 
 11.354884379424256 2.6234473319855968e-51 
 11.378244454931572  3.696409274566561e-51 
 11.401604530438886  5.205359889047621e-51 
 11.424964605946201   7.32629631087375e-51 
 11.448324681453515 1.0305788052773575e-50 
  11.47168475696083  1.448908439241006e-50 
 11.495044832468146 2.0359339567517992e-50 
  11.51840490797546 2.8592322801834357e-50 
 11.541764983482775  4.013268341264294e-50 
  11.56512505899009  5.630020400424013e-50 
 11.588485134497404  7.893775055147002e-50 
  11.61184521000472 1.1061716727425607e-49 
 11.635205285512034 1.5492565020786654e-49 
 11.658565361019349 2.1686383364735975e-49 
