|bandpass_frequency|       bandpass_weights|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
               10.0  2.3543322336501695e-23 
 10.023360075507314   2.933862786392378e-23 
 10.046720151014629  3.6540863051792233e-23 
 10.070080226521945   4.548673627533112e-23 
  10.09344030202926   5.659235265761918e-23 
 10.116800377536574   7.037165072584739e-23 
 10.140160453043888   8.745905248725114e-23 
 10.163520528551203  1.0863727398772074e-22 
 10.186880604058517   1.348714526373507e-22 
 10.210240679565834  1.6735100219947252e-22 
 10.233600755073148  2.0754091600667285e-22 
 10.256960830580462  2.5724461536735454e-22 
 10.280320906087777  3.1868089736732175e-22 
 10.303680981595091  3.9457809138345884e-22 
 10.327041057102408   4.882892071560063e-22 
 10.350401132609722   6.039326739839491e-22 
 10.373761208117037   7.465642603623342e-22 
 10.397121283624351      9.223869621127e-22 
 10.420481359131665  1.1390070980204899e-21 
  10.44384143463898  1.4057466072093788e-21 
 10.467201510146296  1.7340236644650952e-21 
  10.49056158565361  2.1378162935816297e-21 
 10.513921661160925  2.6342267546868298e-21 
  10.53728173666824  3.2441682175630986e-21 
 10.560641812175554   3.993199738860918e-21 
  10.58400188768287   4.912540992205191e-21 
 10.607361963190185  6.0403047424975434e-21 
 10.630722038697499   7.422992931810016e-21 
 10.654082114204813   9.117311720486312e-21 
 10.677442189712128  1.1192372221338176e-20 
 10.700802265219442   1.373235735747896e-20 
 10.724162340726759  1.6839751718559066e-20 
 10.747522416234073   2.063925102753365e-20 
 10.770882491741387   2.528249150507322e-20 
 10.794242567248702   3.095376780025854e-20 
 10.817602642756016    3.78769421591161e-20 
 10.840962718263333  4.6323788215014394e-20 
 10.864322793770647   5.662406150260394e-20 
 10.887682869277961   6.917764705660353e-20 
 10.911042944785276   8.446920408689859e-20 
  10.93440302029259  1.0308581088879565e-19 
 10.957763095799905  1.2573821242470664e-19 
 10.981123171307221  1.5328639144833157e-19 
 11.004483246814535  1.8677032524630838e-19 
  11.02784332232185   2.274469583178583e-19 
 11.051203397829164   2.768346216597766e-19 
 11.074563473336479   3.367663677476185e-19 
 11.097923548843795  4.0945397386866415e-19 
  11.12128362435111   4.975647035115599e-19 
 11.144643699858424   6.043133158848001e-19 
 11.168003775365738   7.335722889397586e-19 
 11.191363850873053   8.900037851731933e-19 
 11.214723926380369  1.0792175581041194e-18 
 11.238084001887684  1.3079597896017077e-18 
 11.261444077394998   1.584338786490316e-18 
 11.284804152902312   1.918094575276529e-18 
 11.308164228409627  2.3209207472213334e-18 
 11.331524303916941  2.8068484584425708e-18 
 11.354884379424256  3.3927043236927314e-18 
 11.378244454931572   4.098656107578485e-18 
 11.401604530438886   4.948862671538546e-18 
 11.424964605946201  5.9722476470035275e-18 
 11.448324681453515   7.203419854623234e-18 
  11.47168475696083    8.68376766948252e-18 
 11.495044832468146   1.046275945187234e-17 
  11.51840490797546  1.2599487949613492e-17 
 11.541764983482775  1.5164503379735484e-17 
  11.56512505899009  1.8241987887555266e-17 
 11.588485134497404  2.1932333461847842e-17 
  11.61184521000472  2.6355196390715046e-17 
 11.635205285512034  3.1653114247689566e-17 
 11.658565361019349  3.7995786519545176e-17 
