|bandpass_frequency|       bandpass_weights|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
              180.0  1.5871291621249462e-25 
 180.01532076245132  1.8412725692801445e-25 
 180.03064152490265   2.135611298892797e-25 
 180.04596228735397  2.4764219983503313e-25 
  180.0612830498053  2.8709485847822194e-25 
 180.07660381225662   3.327549283957956e-25 
 180.09192457470795   3.855865706657899e-25 
 180.10724533715924    4.46701721711285e-25 
 180.12256609961057  5.1738243214589935e-25 
  180.1378868620619   5.991065345227163e-25 
 180.15320762451321  6.9357712873087055e-25 
 180.16852838696454   8.027564444323355e-25 
 180.18384914941586   9.289047206365499e-25 
  180.1991699118672   1.074624834666918e-24 
  180.2144906743185  1.2429135179850185e-24 
 180.22981143676984  1.4372201164209142e-24 
 180.24513219922116   1.661513989379227e-24 
 180.26045296167248  1.9203617988981997e-24 
  180.2757737241238  2.2190161176999705e-24 
  180.2910944865751  2.5635169886187497e-24 
 180.30641524902643   2.960808299469979e-24 
 180.32173601147775   3.418871101419369e-24 
 180.33705677392908  3.9468762997084304e-24 
  180.3523775363804   4.555359488144878e-24 
 180.36769829883173  5.2564210888608885e-24 
 180.38301906128305   6.063955402895193e-24 
 180.39833982373437   6.993912682527749e-24 
  180.4136605861857   8.064598911299439e-24 
 180.42898134863702   9.297018631702186e-24 
 180.44430211108835  1.0715266904309618e-23 
 180.45962287353967  1.2346977327708174e-23 
 180.47494363599097  1.4223834009681892e-23 
  180.4902643984423  1.6382156472210076e-23 
 180.50558516089362   1.886356771335323e-23 
 180.52090592334494  2.1715757058168912e-23 
 180.53622668579627  2.4993351030374068e-23 
  180.5515474482476   2.875890729236366e-23 
  180.5668682106989  3.3084048761762245e-23 
 180.58218897315024   3.805075735041871e-23 
 180.59750973560156   4.375284942325213e-23 
  180.6128304980529  5.0297658080836496e-23 
  180.6281512605042   5.780795077786283e-23 
 180.64347202295554   6.642411465211152e-23 
 180.65879278540686   7.630664631491031e-23 
 180.67411354785816    8.76389878110752e-23 
 180.68943431030948  1.0063075606994038e-22 
  180.7047550727608  1.1552141952369689e-22 
 180.72007583521213  1.3258448276271008e-22 
 180.73539659766345   1.521322482354637e-22 
 180.75071736011478  1.7452123320783435e-22 
  180.7660381225661  2.0015833060809222e-22 
 180.78135888501743   2.295078141560198e-22 
 180.79667964746875   2.630993014804381e-22 
 180.81200040992007  3.0153680396545683e-22 
  180.8273211723714  3.4550900905220533e-22 
 180.84264193482272  3.9580095990765765e-22 
 180.85796269727402   4.533073190340708e-22 
 180.87328345972534   5.190474268457515e-22 
 180.88860422217667   5.941823938329289e-22 
   180.903924984628   6.800344960695474e-22 
 180.91924574707932   7.781091789343769e-22 
 180.93456650953064    8.90120013514651e-22 
 180.94988727198196  1.0180169947999456e-21 
  180.9652080344333  1.1640186210840538e-21 
  180.9805287968846  1.3306482506767094e-21 
 180.99584955933594  1.5207752958786426e-21 
 181.01117032178726  1.7376618860770128e-21 
  181.0264910842386   1.985015712769099e-21 
 181.04181184668988  2.2670498604337047e-21 
  181.0571326091412  2.5885505296938793e-21 
 181.07245337159253  2.9549536745315106e-21 
 181.08777413404385   3.372431705031504e-21 
