|bandpass_frequency|      bandpass_weights|
|            double|                double|
|               GHz|                      |
|              null|                  null|
               50.0  6.366511428765747e-10 
 50.015320762451324  6.841609808674675e-10 
  50.03064152490264  7.350436676619232e-10 
 50.045962287353966  7.895252777718045e-10 
  50.06128304980529  8.478460430131849e-10 
  50.07660381225661  9.102611679920333e-10 
  50.09192457470793  9.770416877141152e-10 
 50.107245337159256 1.0484753691784729e-09 
  50.12256609961057 1.1248676588769075e-09 
   50.1378868620619  1.206542678184261e-09 
  50.15320762451322 1.2938442686880208e-09 
  50.16852838696454 1.3871370895711223e-09 
  50.18384914941586  1.486807769226363e-09 
  50.19916991186719 1.5932661133458973e-09 
 50.214490674318505  1.706946371796813e-09 
  50.22981143676983 1.8283085666587573e-09 
  50.24513219922115 1.9578398838658106e-09 
  50.26045296167247 2.0960561309627785e-09 
 50.275773724123795  2.243503263550841e-09 
  50.29109448657512 2.4007589830633963e-09 
  50.30641524902644 2.5684344085801676e-09 
  50.32173601147776  2.747175825450381e-09 
 50.337056773929085  2.937666513561715e-09 
  50.35237753638041 3.1406286581526145e-09 
 50.367698298831726 3.3568253461302858e-09 
  50.38301906128305  3.587062650914784e-09 
 50.398339823734375  3.832191808887845e-09 
  50.41366058618569   4.09311149058505e-09 
 50.428981348637016  4.370770169821361e-09 
  50.44430211108834 4.6661685939921965e-09 
  50.45962287353966  4.980362358844918e-09 
  50.47494363599098  5.314464591058624e-09 
  50.49026439844231  5.669648742013064e-09 
 50.505585160893624  6.047151496170294e-09 
  50.52090592334495  6.448275797525524e-09 
  50.53622668579627  6.874393997612346e-09 
  50.55154744824759 7.3269511285806256e-09 
 50.566868210698914  7.807468304880806e-09 
  50.58218897315024  8.317546257104162e-09 
 50.597509735601555    8.8588690015444e-09 
  50.61283049805288  9.433207649044064e-09 
 50.628151260504204 1.0042424356686328e-08 
  50.64347202295552 1.0688476425888168e-08 
 50.658792785406845  1.137342055042949e-08 
  50.67411354785817 1.2099417217923444e-08 
  50.68943431030949 1.2868735268210075e-08 
  50.70475507276081 1.3683756612103226e-08 
 50.720075835212135   1.45469811138684e-08 
  50.73539659766345 1.5461031640756243e-08 
  50.75071736011478 1.6428659282835082e-08 
   50.7660381225661  1.745274874628162e-08 
  50.78135888501742 1.8536323923204762e-08 
  50.79667964746874  1.968255364096184e-08 
  50.81200040992007  2.089475759380395e-08 
 50.827321172371384 2.2176412459570714e-08 
  50.84264193482271  2.353115820399511e-08 
  50.85796269727403 2.4962804575019973e-08 
  50.87328345972535 2.6475337789367542e-08 
 50.888604222176674 2.8072927413401364e-08 
    50.903924984628 2.9759933440114407e-08 
  50.91924574707932  3.154091356387344e-08 
  50.93456650953064 3.3420630654293326e-08 
 50.949887271981964 3.5404060430377775e-08 
  50.96520803443329  3.749639933577242e-08 
 50.980528796884606  3.970307261571285e-08 
  50.99584955933593  4.202974259592654e-08 
 51.011170321787255  4.448231716341036e-08 
  51.02649108423857 4.7066958448695574e-08 
 51.041811846689896  4.979009170881693e-08 
  51.05713260914122 5.2658414409816345e-08 
  51.07245337159254  5.567890550723898e-08 
  51.08777413404386 5.8858834922626354e-08 
