|bandpass_frequency|       bandpass_weights|
|            double|                 double|
|               GHz|                       |
|              null|                   null|
              180.0   3.881239023877282e-28 
 180.01532076245132   4.543923564464376e-28 
 180.03064152490265   5.318506632032921e-28 
 180.04596228735397   6.223668510198984e-28 
  180.0612830498053   7.281171500147043e-28 
 180.07660381225662   8.516362286041703e-28 
 180.09192457470795   9.958755166442115e-28 
 180.10724533715924  1.1642709001309576e-27 
 180.12256609961057  1.3608212738825943e-27 
  180.1378868620619  1.5901796712277578e-27 
 180.15320762451321  1.8577589582444223e-27 
 180.16852838696454   2.169854389946106e-27 
 180.18384914941586  2.5337856833180433e-27 
  180.1991699118672   2.958061674453475e-27 
  180.2144906743185   3.452571102536221e-27 
 180.22981143676984   4.028803611583322e-27 
 180.24513219922116   4.700105692647731e-27 
 180.26045296167248   5.481977017151067e-27 
  180.2757737241238  6.3924134505989764e-27 
  180.2910944865751   7.452304001680485e-27 
 180.30641524902643   8.685890073687723e-27 
 180.32173601147775   1.012129666502845e-26 
 180.33705677392908  1.1791146638500133e-26 
  180.3523775363804  1.3733270873362697e-26 
 180.36769829883173  1.5991529063148277e-26 
 180.38301906128305  1.8616758163074388e-26 
 180.39833982373437   2.166786806703605e-26 
  180.4136605861857   2.521310705478845e-26 
 180.42898134863702  2.9331522951632964e-26 
 180.44430211108835  3.4114649850362546e-26 
 180.45962287353967   3.966845473243629e-26 
 180.47494363599097  4.6115583477032546e-26 
  180.4902643984423   5.359795165973159e-26 
 180.50558516089362   6.227973232741553e-26 
 180.52090592334494   7.235080072016721e-26 
 180.53622668579627   8.403070483766972e-26 
  180.5515474482476   9.757324098361451e-26 
  180.5668682106989  1.1327172515476596e-25 
 180.58218897315024  1.3146506458752842e-25 
 180.59750973560156   1.525447491801764e-25 
  180.6128304980529  1.7696290015415955e-25 
  180.6281512605042  2.0524153352342616e-25 
 180.64347202295554  2.3798321907233356e-25 
 180.65879278540686   2.758833420166428e-25 
 180.67411354785816  3.1974420481414373e-25 
 180.68943431030948   3.704912412431331e-25 
  180.7047550727608    4.29191654492911e-25 
 180.72007583521213   4.970758363201695e-25 
 180.73539659766345   5.755619761086485e-25 
 180.75071736011478   6.662843278484695e-25 
  180.7660381225661    7.71125670656216e-25 
 180.78135888501743    8.92254575670294e-25 
 180.79667964746875  1.0321681803202026e-24 
 180.81200040992007  1.1937412716097936e-24 
  180.8273211723714  1.3802825949088809e-24 
 180.84264193482272  1.5955994357887693e-24 
 180.85796269727402   1.844071671905039e-24 
 180.87328345972534  2.1307366623785385e-24 
 180.88860422217667  2.4613865364266697e-24 
   180.903924984628   2.842679664476222e-24 
 180.91924574707932   3.282268347315499e-24 
 180.93456650953064  3.7889450463044734e-24 
 180.94988727198196   4.372809805020553e-24 
  180.9652080344333   5.045461885428037e-24 
  180.9805287968846   5.820219065897358e-24 
 180.99584955933594   6.712368531152148e-24 
 181.01117032178726   7.739453833423015e-24 
  181.0264910842386    8.92160302871463e-24 
 181.04181184668988  1.0281903802317218e-23 
  181.0571326091412    1.18468322050577e-23 
 181.07245337159253     1.3646742539232e-23 
 181.08777413404385  1.5716426975663952e-23 
 181.10309489649518  1.8095754667265686e-23 
